game_name,tags,followers,oweners,num_ytube_vids(one_day)
MX Bikes,"['Motorbike', 'Motocross', 'Multiplayer', 'Simulation', 'Offroad', 'Realistic', 'Racing', 'Moddable', 'e-sports', 'Automobile Sim', 'VR', 'Controller', 'Early Access', 'Physics', 'Bikes', 'Difficult', 'Immersive Sim', '3D', 'First-Person', 'Third Person']",": 14,066",": 200,000 .. 500,000",: 38 new videos uploaded yesterday.
CarX Drift Racing Online,"['Racing', 'Driving', 'Automobile Sim', 'Multiplayer', 'Simulation', 'Sports', 'Open World', 'Massively Multiplayer', 'Controller', 'Singleplayer', 'Arcade', 'VR', 'Local Multiplayer', 'Realistic', 'Co-op', 'Early Access', 'Casual', 'Games Workshop', 'Mod', 'Action']",": 73,199",": 1,000,000 .. 2,000,000",: 50 new videos uploaded yesterday.
SpaceEngine,"['Early Access', 'Open World', 'Casual', 'Sandbox', 'Space', 'Space Sim', 'Education', 'Indie', 'Relaxing', 'Realistic', 'Atmospheric', 'Science', 'Simulation', 'VR', 'Procedural Generation', 'Singleplayer', 'Colorful', 'Exploration', 'Family Friendly', 'Sci-fi']",: 0,": 200,000 .. 500,000",: 3 new videos uploaded yesterday.
Vertigo 2,"['Indie', 'VR', 'Sci-fi', 'First-Person', 'Shooter', 'Female Protagonist', 'Singleplayer', 'FPS', 'Action-Adventure', 'Aliens', 'Comedy', 'Colorful', 'Adventure', 'Combat', 'Action', 'Lovecraftian', 'Violent', '3D', 'Gore', 'Soundtrack', 'VR Only']",": 4,709",": 20,000 .. 50,000",: 10 new videos uploaded yesterday.
Alien: Isolation,"['Horror', 'Survival Horror', 'Sci-fi', 'Atmospheric', 'Aliens', 'Stealth', 'First-Person', 'Space', 'Female Protagonist', 'Survival', 'Singleplayer', 'Action', 'Difficult', 'Adventure', 'Psychological Horror', 'Great Soundtrack', 'FPS', 'Gore', 'Shooter', 'VR']",": 137,544",": 2,000,000 .. 5,000,000",: 50 new videos uploaded yesterday.
Rec Room,"['Free to Play', 'VR', 'Multiplayer', 'Funny', 'Online Co-Op', 'Massively Multiplayer', 'First-Person', 'Casual', 'Adventure', 'Co-op', 'Sports', 'Sandbox', 'Family Friendly', 'Action', 'Simulation', 'Character Customization', '3D', 'Horror', 'Action-Adventure', 'Singleplayer']",: 0,": 2,000,000 .. 5,000,000",: 50 new videos uploaded yesterday.
STAR WARS™: Squadrons,"['Flight', 'Space', 'Multiplayer', 'VR', 'Sci-fi', 'Singleplayer', 'Action', 'Simulation', 'First-Person', 'PvP', 'Spaceships', 'Online Co-Op', 'Co-op', 'Shooter', 'Controller', 'Space Sim', 'Female Protagonist', 'FPS', 'Adventure', 'Strategy']",": 96,352",": 500,000 .. 1,000,000",: 5 new videos uploaded yesterday.
BONELAB,"['VR', 'Physics', 'Sandbox', 'Action', 'Shooter', 'FPS', 'First-Person', 'Action-Adventure', 'Violent', 'Underground', 'Experimental', 'Psychological', 'Puzzle', 'Combat', 'Dark', 'Indie', 'Story Rich', 'Female Protagonist', 'Singleplayer', 'Atmospheric', 'VR Only']",": 32,980",": 200,000 .. 500,000",: 50 new videos uploaded yesterday.
Pavlov VR,"['VR', 'Shooter', 'Action', 'Multiplayer', 'FPS', 'Military', 'Zombies', 'Gore', 'First-Person', 'Singleplayer', 'Funny', 'Violent', 'Co-op', 'Competitive', 'Indie', 'Memes', 'Team-Based', 'PvP', 'Simulation', 'Early Access', 'VR Only']",": 47,218",": 2,000,000 .. 5,000,000",: 24 new videos uploaded yesterday.
The Walking Dead: Saints & Sinners - Chapter 2: Retribution,"['VR', 'Action', 'Zombies', 'Survival Horror', 'Adventure', 'Horror', 'RPG', 'Action RPG', 'Action-Adventure', 'Singleplayer', 'Shooter', 'FPS', 'First-Person', 'Survival', 'Choices Matter', 'Open World', 'Combat', 'Gore', 'Violent', 'Multiplayer', 'VR Only']",": 6,343",": 0 .. 20,000",: 10 new videos uploaded yesterday.
