game_name,active_plyrs(min),active_plyrs(24hrs),pos_reviews,gross_rev,units_sold
Lightblade VR,0,2,79.9%,$107k,"33,734",2.2 hours,1.2 hours
Warhammer Age of Sigmar: Tempestfall,0,2,68.6%,$125k,"5,550"
GNOG,0,4,92.6%,$122k,"16,815",3.8 hours,2.6 hours
Dead Secret,0,1,81.2%,$358k,"33,248",3.9 hours,3.2 hours
Vengeful Rites,0,3,93.7%,$106k,"7,590"
Black Hole Pool VR,0,2,78.4%,"$10,319","2,640"
The Great C,0,1,88.5%,"$32,909","7,331"
Late For Work,0,1,88.5%,"$22,822","2,401"
Moon VR Video Player,0,4,72.5%,"$62,759","8,390"
RoboCo,0,3,92.5%,"$51,031","3,210"
Virtual Rides 3 - Funfair Simulator,4,41,87.8%,$358k,"19,917",79 hours,29.2 hours
Wandering in space VR,0,2,85.5%,"$52,781","4,770"
Interkosmos 2000,1,1,75%,"$7,488",510
VRocker,0,1,92.5%,"$14,802","2,010"
Whirligig VR Media Player,6,17,79.7%,"$68,883","21,692"
Sports Bar VR,0,4,84.1%,$1.1m,"79,697",10.2 hours,4.2 hours
Half-Life: Alyx - Final Hours,0,3,95.1%,$184k,"24,270",4.3 hours,3.6 hours
STAND OUT : VR Battle Royale,0,4,72.9%,$774k,"47,180",51 hours,8.6 hours
ChilloutVR,99,128,83.5%,nan,"66,750",125.5 hours,5.7 hours
IL-2 Sturmovik: GAZ-MM 72-K Anti-Aircraft Gun,nan,nan,nan,nan,nan
Duck Season PC,2,5,92.1%,$110k,"14,850",7.5 hours,5.3 hours
Monstrum,3,22,91.2%,$1.7m,150k,29.3 hours,10.8 hours
Formula Retro Racing - World Tour,0,2,76.9%,"$4,126",390
Lust for Darkness VR: M Edition,0,3,75%,"$7,032",480
Megadimension Neptunia VIIR,2,10,74.5%,$749k,"31,843",68.7 hours,18.9 hours
Audioshield,0,2,80.6%,$2.3m,156k,20.8 hours,8.2 hours
Real Pool 3D - Poolians,921,"2,074",78.9%,nan,170k,29.2 hours,9 hours
Ultrawings 2,3,3,77%,"$46,084","2,610"
Resist,0,1,83.7%,"$21,020","1,470"
The Mage's Tale,0,2,73.9%,$197k,"8,440"
VAIL VR Founder Pack,nan,nan,nan,nan,nan
